Date,Open,High,Low,Close,Adj Close,Volume
2019-05-06,0.003102,0.003108,0.003076,0.003080,0.003080,27919
2019-05-07,0.003079,0.005819,0.003079,0.005001,0.005001,30216
2019-05-08,0.004996,0.005738,0.002906,0.005532,0.005532,112752
2019-05-09,0.005532,0.011455,0.003604,0.003641,0.003641,22280
2019-05-10,0.003639,0.011615,0.002640,0.002933,0.002933,54203
2019-05-11,0.002938,0.022107,0.002933,0.005689,0.005689,51123
2019-05-12,0.005682,0.018784,0.000890,0.001156,0.001156,140181
2019-05-13,0.001156,0.004181,0.001145,0.003141,0.003141,41822
2019-05-14,0.003143,0.003343,0.002824,0.002867,0.002867,11978
2019-05-15,0.002866,0.004433,0.002193,0.004326,0.004326,28493
2019-05-16,0.004322,0.004396,0.003665,0.003814,0.003814,18429
2019-05-17,0.003811,0.003836,0.002550,0.003349,0.003349,14582
2019-05-18,0.003349,0.006054,0.002444,0.004697,0.004697,97541
2019-05-19,0.004697,0.005200,0.002205,0.003923,0.003923,94847
2019-05-20,0.003923,0.003923,0.002971,0.003106,0.003106,267024
2019-05-21,0.003104,0.007478,0.002672,0.004976,0.004976,538968
2019-05-22,0.004976,0.006053,0.003386,0.004981,0.004981,138418
2019-05-23,0.004981,0.007622,0.003835,0.007140,0.007140,336912
2019-05-24,0.007143,0.007431,0.004144,0.004242,0.004242,141349
2019-05-25,0.004242,0.005886,0.003734,0.005815,0.005815,335126
2019-05-26,0.005808,0.006305,0.002977,0.003971,0.003971,224743
2019-05-27,0.003971,0.008829,0.003384,0.004372,0.004372,268074
2019-05-28,0.004227,0.005763,0.003771,0.003922,0.003922,42026
2019-05-29,0.003922,0.004786,0.003216,0.004072,0.004072,205627
2019-05-30,0.004072,0.004124,0.002666,0.003023,0.003023,70186
2019-05-31,0.003023,0.003402,0.002773,0.003305,0.003305,61907
2019-06-01,0.003305,0.003507,0.002962,0.003451,0.003451,102744
2019-06-02,0.003451,0.003477,0.002762,0.003047,0.003047,79083
2019-06-03,0.003047,0.003229,0.002261,0.002817,0.002817,153694
2019-06-04,0.002813,0.008089,0.002434,0.007466,0.007466,462530
2019-06-05,0.007462,0.007660,0.002444,0.004179,0.004179,907680
2019-06-06,0.004180,0.004499,0.001981,0.002347,0.002347,156254
2019-06-07,0.002347,0.002706,0.002105,0.002680,0.002680,16946
2019-06-08,0.002680,0.002728,0.002017,0.002019,0.002019,8643
2019-06-09,0.002019,0.002535,0.001584,0.001712,0.001712,19290
2019-06-10,0.001708,0.002616,0.001695,0.002317,0.002317,29432
2019-06-11,0.002319,0.002402,0.001881,0.001884,0.001884,55058
2019-06-12,0.001887,0.004589,0.001868,0.004078,0.004078,84224
2019-06-13,0.004081,0.011062,0.002068,0.002679,0.002679,44854
2019-06-14,0.002682,0.002892,0.002288,0.002296,0.002296,29724
2019-06-15,0.002297,0.002831,0.002111,0.002400,0.002400,56472
2019-06-16,0.002400,0.002716,0.001928,0.002187,0.002187,63072
2019-06-17,0.002187,0.002395,0.001993,0.002077,0.002077,23239
2019-06-18,0.002076,0.002371,0.001813,0.001980,0.001980,67551
2019-06-19,0.001982,0.002194,0.001904,0.002191,0.002191,6988
2019-06-20,0.002191,0.002401,0.001934,0.002175,0.002175,43399
2019-06-21,0.002177,0.002177,0.001495,0.001780,0.001780,68022
2019-06-22,0.001786,0.002303,0.001507,0.001800,0.001800,50076
2019-06-23,0.001801,0.002398,0.001606,0.002379,0.002379,8078
2019-06-24,0.002379,0.002498,0.002315,0.002491,0.002491,7072
2019-06-25,0.002491,0.002509,0.001141,0.001305,0.001305,189481
2019-06-26,0.001305,0.002731,0.000995,0.001169,0.001169,214761
2019-06-27,0.001169,0.001303,0.000790,0.001209,0.001209,23412
2019-06-28,0.001211,0.003017,0.001092,0.001515,0.001515,235585
2019-06-29,0.001516,0.002331,0.000967,0.001194,0.001194,74906
2019-06-30,0.001192,0.001217,0.000891,0.000967,0.000967,25955
2019-07-01,0.000967,0.001007,0.000831,0.000957,0.000957,54613
2019-07-02,0.000958,0.000995,0.000836,0.000969,0.000969,37355
2019-07-03,0.000969,0.001004,0.000837,0.000955,0.000955,9111
2019-07-04,0.000955,0.001044,0.000863,0.000866,0.000866,7039
2019-07-05,0.000865,0.001002,0.000736,0.000765,0.000765,64684
2019-07-06,0.000765,0.001006,0.000765,0.000893,0.000893,11420
2019-07-07,0.000893,0.000898,0.000777,0.000800,0.000800,4799
2019-07-08,0.000800,0.000864,0.000683,0.000859,0.000859,4964
2019-07-09,0.000860,0.000984,0.000847,0.000869,0.000869,5797
2019-07-10,0.000869,0.000917,0.000705,0.000733,0.000733,4279
2019-07-11,0.000733,0.001026,0.000683,0.000966,0.000966,11019
2019-07-12,0.000967,0.001305,0.000856,0.000900,0.000900,8619
2019-07-13,0.000900,0.001019,0.000793,0.001019,0.001019,5917
2019-07-14,0.001020,0.001025,0.000912,0.000915,0.000915,5254
2019-07-15,0.000915,0.000943,0.000654,0.000654,0.000654,4510
2019-07-16,0.000653,0.000939,0.000529,0.000749,0.000749,4349
2019-07-17,0.000747,0.000772,0.000627,0.000728,0.000728,4823
2019-07-18,0.000729,0.000780,0.000470,0.000737,0.000737,4314
2019-07-19,0.000737,0.000741,0.000710,0.000735,0.000735,3876
2019-07-20,0.000736,0.000746,0.000528,0.000647,0.000647,3251
2019-07-21,0.000647,0.000941,0.000620,0.000631,0.000631,2918
2019-07-22,0.000632,0.000635,0.000411,0.000414,0.000414,2278
2019-07-23,0.000414,0.000991,0.000397,0.000974,0.000974,3484
2019-07-24,0.000974,0.000974,0.000540,0.000588,0.000588,3008
2019-07-25,0.000588,0.000609,0.000492,0.000592,0.000592,2421
2019-07-26,0.000591,0.000592,0.000573,0.000584,0.000584,2557
2019-07-27,0.000584,0.000602,0.000550,0.000568,0.000568,2249
2019-07-28,0.000568,0.000574,0.000553,0.000568,0.000568,2296
2019-07-29,0.000568,0.000578,0.000566,0.000573,0.000573,2389
2019-07-30,0.000573,0.000602,0.000502,0.000576,0.000576,3086
2019-07-31,0.000575,0.000773,0.000575,0.000705,0.000705,5005
2019-08-01,0.000706,0.000742,0.000602,0.000646,0.000646,3335
2019-08-02,0.000646,0.000737,0.000624,0.000736,0.000736,3319
2019-08-03,0.000736,0.000753,0.000625,0.000649,0.000649,1903
