Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,0.000176,0.000180,0.000169,0.000171,0.000171,57509
2021-01-02,0.000171,0.000188,0.000169,0.000183,0.000183,52714
2021-01-03,0.000183,0.000227,0.000176,0.000223,0.000223,181884
2021-01-04,0.000222,0.000282,0.000201,0.000242,0.000242,388807
2021-01-05,0.000242,0.000361,0.000239,0.000313,0.000313,804142
2021-01-06,0.000310,0.000363,0.000300,0.000337,0.000337,523343
2021-01-07,0.000336,0.000339,0.000272,0.000305,0.000305,479355
2021-01-08,0.000306,0.000395,0.000289,0.000389,0.000389,592202
2021-01-09,0.000389,0.000488,0.000376,0.000486,0.000486,710099
2021-01-10,0.000486,0.000518,0.000418,0.000448,0.000448,601293
2021-01-11,0.000448,0.000488,0.000345,0.000477,0.000477,763542
2021-01-12,0.000477,0.000592,0.000438,0.000496,0.000496,853095
2021-01-13,0.000493,0.000592,0.000452,0.000572,0.000572,533049
2021-01-14,0.000568,0.000763,0.000544,0.000692,0.000692,1186658
2021-01-15,0.000692,0.000847,0.000691,0.000831,0.000831,1324735
2021-01-16,0.000823,0.000981,0.000802,0.000976,0.000976,1004415
2021-01-17,0.000964,0.001229,0.000645,0.000914,0.000914,3979460
2021-01-18,0.000907,0.000963,0.000695,0.000940,0.000940,2413708
2021-01-19,0.000941,0.000991,0.000808,0.000808,0.000808,841522
2021-01-20,0.000808,0.000828,0.000645,0.000735,0.000735,1039468
2021-01-21,0.000734,0.000761,0.000564,0.000584,0.000584,625062
2021-01-22,0.000580,0.000851,0.000532,0.000796,0.000796,1084593
2021-01-23,0.000797,0.000860,0.000664,0.000671,0.000671,929073
2021-01-24,0.000684,0.000756,0.000672,0.000755,0.000755,539208
2021-01-25,0.000754,0.000912,0.000741,0.000859,0.000859,826184
2021-01-26,0.000860,0.000899,0.000776,0.000816,0.000816,561133
2021-01-27,0.000819,0.000826,0.000681,0.000711,0.000711,649419
2021-01-28,0.000713,0.000779,0.000701,0.000725,0.000725,467617
2021-01-29,0.000712,0.000765,0.000671,0.000760,0.000760,1001392
2021-01-30,0.000754,0.001149,0.000727,0.000914,0.000914,1840216
2021-01-31,0.000914,0.000949,0.000751,0.000770,0.000770,774635
2021-02-01,0.000772,0.000885,0.000750,0.000874,0.000874,877801
2021-02-02,0.000874,0.001162,0.000855,0.001116,0.001116,597034
2021-02-03,0.001126,0.001663,0.001071,0.001415,0.001415,3877916
